Offer Name,Title,Description,Type,Code,Offer Page  ( Ctrl C to copy ),start_date(m/d/Year),Expiry,Coupon_featured,Tracking Extra parameter
Firstcry,Extra Rs.50 OFF* on Philips Avent at Firstcry,Extra Rs.50 OFF* on Philips Avent at Firstcry. *Not valid on Combos. Valid on MRP of products. Valid till 31st December 2015.,Coupon,ICSF50AVNT,http://tracking.icubeswire.com/aff_c?offer_id=1534&aff_id=3094&url_id=8647,9/21/2015,12/31/2015,18,aff_sub
Firstcry,Get Rs.300 OFF* on minimum purchase of Rs.1899,Get Rs.300 OFF* on minimum purchase of Rs.1899 at Firstcry. *Not valid on few categories and brands. Applicable on MRP of products.,Coupon,FC300,http://tracking.icubeswire.com/aff_c?offer_id=1534&aff_id=3094,9/9/2015,12/31/2015,19,aff_sub
Firstcry,Rs.50 OFF* on your order,Rs.50 OFF* on your order at Firstcry. *Not valid on few categories and brands. Applicable on MRP of products.,Coupon,FC50ALL,http://tracking.icubeswire.com/aff_c?offer_id=1534&aff_id=3094,9/9/2015,12/31/2015,20,aff_sub
Firstcry,Flat 17% OFF* on your order,Flat 17% OFF* on your order at Firstcry. Not valid on few categories and brands.,Coupon,FCFLAT17,http://tracking.icubeswire.com/aff_c?offer_id=1534&aff_id=3094,9/9/2015,12/31/2015,21,aff_sub
Firstcry,Flat 20% OFF* on your order above Rs.1499,Flat 20% OFF* on your order above Rs.1499 at Firstcry. *Not valid on few categories and brands. Not applicable with any other offer.,Coupon,FC20ORDR,http://tracking.icubeswire.com/aff_c?offer_id=1534&aff_id=3094,9/9/2015,12/31/2015,22,aff_sub
Firstcry,Flat 12% OFF* on minimum purchase of Rs.1250,Flat 12% OFF* on minimum purchase of Rs.1250 at Firstcry. *Not valid on few categories and brands. Applicable on MRP of products.,Coupon,FC12,http://tracking.icubeswire.com/aff_c?offer_id=1534&aff_id=3094,9/9/2015,12/31/2015,23,aff_sub
Firstcry,Flat 35% OFF* on Select Baby Gear,Flat 35% OFF* on Select Baby Gear at Firstcry. *Coupon applicable on MRP. Not applicable with any other offer.,Coupon,FCBGR35,http://tracking.icubeswire.com/aff_c?offer_id=1534&aff_id=3094&url_id=8341,9/9/2015,12/31/2015,24,aff_sub
Vista Print,Buy More Save More!,"Buy More Save More! Rs. 100 off on Rs.500, Rs.200 off on Rs.1000 & Rs.300 off on Rs. 1500 at vistaprint. Hurry up!!! Shop Now. Coupon is valid for Limited period.",Coupon,123OFF,http://tracking.icubeswire.com/aff_c?offer_id=204&aff_id=3094,4/29/2015,5/31/2016,25,aff_sub
Paytm,Get 50% cash back upto 250 on order value of 350 and ab,First time users offer: Get 50% cash back upto 250 on order value of 350 and above at Paytm. Minimum order value Rs 350.,Coupon,FIRST50,http://tracking.icubeswire.com/aff_c?offer_id=681&aff_id=3094,6/1/2015,6/30/2016,26,aff_sub
Paytm,Get Rs. 200 Cashback on order value of 500 and above,Get Rs. 200 Cashback on order value of 500 and above at Paytm. Minimum order value Rs 500. One promo code can be used 3 times by one user.,Coupon,BUS200,http://tracking.icubeswire.com/aff_c?offer_id=681&aff_id=3094,6/1/2015,6/30/2016,27,aff_sub
Firstcry,Additional 15% OFF   10% Cashback on all Diapers,Additional 15% OFF   10% Cashback on all Diapers at Firstcry. Max cashback is Rs.200. Limited period offer. Offer valid till stock lasts.,Coupon,FC15DPCB,http://tracking.icubeswire.com/aff_c?offer_id=1534&aff_id=3094&url_id=5324,6/24/2015,10/31/2015,28,aff_sub
Firstcry,Rs.2000 OFF* on Handpicked Baby Gear products,Rs.2000 OFF* on Handpicked Baby Gear products at Firstcry. *Limited period offer. Max discount is Rs.2000. Offer valid till stock lasts.,Coupon,BGEAR2000,http://tracking.icubeswire.com/aff_c?offer_id=1534&aff_id=3094&url_id=5302,6/24/2015,10/31/2015,29,aff_sub
Firstcry,"Boys Special: Get 25% OFF* on Clothes, Shoes & Fashion","Boys Special: Get 25% OFF* on Clothes, Shoes & Fashion   40% at Firstcry. Max Cashback is Rs.400 on purchase of Clothes, Shoes & Fashion Accessories in your order and redeemable only on Apparel, Footwear & Fashion Accessories.",Coupon,FCPRINCE,http://tracking.icubeswire.com/aff_c?offer_id=1534&aff_id=3094&url_id=5322,6/24/2015,10/31/2015,30,aff_sub
Firstcry,"Girls Special: Get 25% OFF* on Clothes, Shoes & Fashion","Girls Special: Get 25% OFF* on Clothes, Shoes & Fashion   40% Cashback at Firstcry. *Limited period offer. Max Cashback is Rs. 400 on purchase of Clothes, Shoes & Fashion Accessories in your order and redeemable only on Apparel, Footwear & Fashion Accessories.",Coupon,FCPRINCESS,http://tracking.icubeswire.com/aff_c?offer_id=1534&aff_id=3094&url_id=5320,6/24/2015,10/31/2015,31,aff_sub
Firstcry,Rs.700 OFF* on minimum purchase of Rs.2099,"Rs.700 OFF* on minimum purchase of Rs.2099. *Coupon code is not valid on Combos, Bottles & Accessories, Bottle Cleaning & Sterilisation and Formula & supplements and brands. Offer Valid till stocks last.",Coupon,FCAFF700,http://tracking.icubeswire.com/aff_c?offer_id=1534&aff_id=3094,6/24/2015,10/31/2015,32,aff_sub
Jabong,Upto 40% off on Denim Jeans,Upto 40% off on Denim Jeans at jabong. Click to see the deal on the landing page. Hurry up!!!!! Limited period offer. No coupon codes required.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=2&aff_id=3094&url_id=1805,4/29/2015,5/31/2016,33,aff_sub
Paytm,Get Best Deals & Offers on Bus Booking,Get Best Deals & Offers on Bus Booking at paytm. Use the respective coupon codes listed on the landing page to get avail the discounts & also get cashback offer. Valid for All Paytm Users. One promo code can be used 3 times by one user/number/device.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=681&aff_id=3094&url_id=3956,5/6/2015,5/31/2016,34,aff_sub
Paytm,Upto 50% off on Men Footwear,"Upto 50% off on Branded Men Footwear like Adidas, Reebok Campus, Woodland & much more at paytm. Hurry up!!!!! Limited period offer. No coupon codes required.",Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=681&aff_id=3094&url_id=3906,4/29/2015,5/31/2016,35,aff_sub
Zivame,End of Season Sale: Enamor 50% off,"End of Season Sale: Enamor 50% off only at Zivame. Limited period offers, So Hurry Now!!",Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=409&aff_id=3094&url_id=6616,7/10/2015,10/31/2015,36,aff_sub
