productId,title,description,imageUrlStr,mrp,price,productUrl,categories,productBrand,deliveryTime,inStock,codAvailable,emiAvailable,offers,discount,cashBack,size,color,sizeUnit,sizeVariants,colorVariants,styleCode,amazon,ebay,snapdeal,shopclubes,indiatimes
MOBEFNFRZNST8WCY,Asus Padfone Mini,,http://img5a.flixcart.com/image/mobile/w/c/y/asus-pf400cg-400x400-imae2y3ksnf4pqdm.jpeg;http://img5a.flixcart.com/image/mobile/w/c/y/asus-pf400cg-75x75-imae2y3ksnf4pqdm.jpeg;http://img5a.flixcart.com/image/mobile/w/c/y/asus-pf400cg-275x275-imae2y3ksnf4pqdm.jpeg;http://img6a.flixcart.com/image/mobile/w/c/y/asus-pf400cg-125x125-imae2y3ksnf4pqdm.jpeg;http://img6a.flixcart.com/image/mobile/w/c/y/asus-pf400cg-40x40-imae2y3ksnf4pqdm.jpeg;http://img5a.flixcart.com/image/mobile/w/c/y/asus-pf400cg-1100x1100-imae2y3ksnf4pqdm.jpeg;http://img5a.flixcart.com/image/mobile/w/c/y/asus-pf400cg-100x100-imae2y3ksnf4pqdm.jpeg;http://img6a.flixcart.com/image/mobile/w/c/y/asus-pf400cg-200x200-imae2y3ksnf4pqdm.jpeg;http://img6a.flixcart.com/image/mobile/w/c/y/asus-pf400cg-original-imae2y3ksnf4pqdm.jpeg;,15999,12999,http://dl.flipkart.com/dl/asus-padfone-mini/p/itme7zfxq6dpz3ts?pid=MOBEFNFRZNST8WCY&affid=gkmlogist,Mobiles>Handsets,Asus,,TRUE,TRUE,,,18,0,,White,,[MOBEFMX4C7A5TBH6],[MOBEFMX4C7A5TBH6],,,,,,
MOBE4X9DA8Z3BSYH,Xolo Q600 Club,,http://img5a.flixcart.com/image/mobile/s/y/h/xolo-q600-club-400x400-imae4xak4tghmwnq.jpeg;http://img6a.flixcart.com/image/mobile/s/y/h/xolo-q600-club-75x75-imae4xak4tghmwnq.jpeg;http://img6a.flixcart.com/image/mobile/s/y/h/xolo-q600-club-275x275-imae4xak4tghmwnq.jpeg;http://img6a.flixcart.com/image/mobile/s/y/h/xolo-q600-club-125x125-imae4xak4tghmwnq.jpeg;http://img6a.flixcart.com/image/mobile/s/y/h/xolo-q600-club-40x40-imae4xak4tghmwnq.jpeg;http://img5a.flixcart.com/image/mobile/s/y/h/xolo-q600-club-original-imae4xak4tghmwnq.jpeg;http://img5a.flixcart.com/image/mobile/s/y/h/xolo-q600-club-1100x1100-imae4xak4tghmwnq.jpeg;http://img5a.flixcart.com/image/mobile/s/y/h/xolo-q600-club-100x100-imae4xak4tghmwnq.jpeg;http://img5a.flixcart.com/image/mobile/s/y/h/xolo-q600-club-200x200-imae4xak4tghmwnq.jpeg;,6499,5229,http://dl.flipkart.com/dl/xolo-q600-club/p/itme73arwbywybzf?pid=MOBE4X9DA8Z3BSYH&affid=gkmlogist,Mobiles>Handsets,Xolo,,TRUE,TRUE,,,19,0,,White,inch,[MOBE4X9DEXPJFSHR],"[MOBE4WSM76D56EM8, MOBE4WSMFVTY7SFW, MOBE4X9DEXPJFSHR]",,,,,,
MOBE8HYQZHFRGGR6,Micromax E471,,http://img5a.flixcart.com/image/mobile/g/r/6/micromax-e471-400x400-imae8hqae5huztpd.jpeg;http://img6a.flixcart.com/image/mobile/g/r/6/micromax-e471-275x275-imae8hqae5huztpd.jpeg;http://img6a.flixcart.com/image/mobile/g/r/6/micromax-e471-75x75-imae8hqae5huztpd.jpeg;http://img6a.flixcart.com/image/mobile/g/r/6/micromax-e471-125x125-imae8hqae5huztpd.jpeg;http://img5a.flixcart.com/image/mobile/g/r/6/micromax-e471-40x40-imae8hqae5huztpd.jpeg;http://img5a.flixcart.com/image/mobile/g/r/6/micromax-e471-1100x1100-imae8hqae5huztpd.jpeg;http://img5a.flixcart.com/image/mobile/g/r/6/micromax-e471-100x100-imae8hqae5huztpd.jpeg;http://img6a.flixcart.com/image/mobile/g/r/6/micromax-e471-200x200-imae8hqae5huztpd.jpeg;http://img6a.flixcart.com/image/mobile/g/r/6/micromax-e471-original-imae8hqae5huztpd.jpeg;,16499,16098,http://dl.flipkart.com/dl/micromax-e471/p/itme8mvk23khteph?pid=MOBE8HYQZHFRGGR6&affid=gkmlogist,Mobiles>Handsets,Micromax,,TRUE,TRUE,,,2,0,,"White, Champange",inch,[MOBE8KNAHE6GZQKH],[MOBE8KNAHE6GZQKH],,,,,,
MOBEFKN9BNE7X9XZ,iBall Andi 5K Panther,,http://img6a.flixcart.com/image/mobile/9/x/z/iball-andi-5k-400x400-imaefkj8jf5adgg7.jpeg;http://img5a.flixcart.com/image/mobile/9/x/z/iball-andi-5k-original-imaefkj8jf5adgg7.jpeg;http://img5a.flixcart.com/image/mobile/9/x/z/iball-andi-5k-275x275-imaefkj8jf5adgg7.jpeg;http://img6a.flixcart.com/image/mobile/9/x/z/iball-andi-5k-75x75-imaefkj8jf5adgg7.jpeg;http://img6a.flixcart.com/image/mobile/9/x/z/iball-andi-5k-125x125-imaefkj8jf5adgg7.jpeg;http://img5a.flixcart.com/image/mobile/9/x/z/iball-andi-5k-40x40-imaefkj8jf5adgg7.jpeg;http://img5a.flixcart.com/image/mobile/9/x/z/iball-andi-5k-100x100-imaefkj8jf5adgg7.jpeg;http://img5a.flixcart.com/image/mobile/9/x/z/iball-andi-5k-200x200-imaefkj8jf5adgg7.jpeg;,12999,6849,http://dl.flipkart.com/dl/iball-andi-5k-panther/p/itme93rgjjt3sygm?pid=MOBEFKN9BNE7X9XZ&affid=gkmlogist,Mobiles>Handsets,iBall,,TRUE,TRUE,,,47,0,,Special Wine & Chrome,inch,"[MOBE2CBMHJCG8YTJ, MOBEFKHMSXHZSZR4]","[MOBE2CBMHJCG8YTJ, MOBE6AUZMGTRSMKJ, MOBEFKHMSXHZSZR4]",,,,,,
MOBE92ZYJHGZGMDD,Micromax Canvas Doodle 4 Q391,,http://img5a.flixcart.com/image/mobile/m/d/d/micromax-canvas-doodle-4-q391-q391-400x400-imae8xwzv95ejmrf.jpeg;http://img5a.flixcart.com/image/mobile/m/d/d/micromax-canvas-doodle-4-q391-q391-original-imae8xwzv95ejmrf.jpeg;http://img5a.flixcart.com/image/mobile/m/d/d/micromax-canvas-doodle-4-q391-q391-75x75-imae8xwzv95ejmrf.jpeg;http://img6a.flixcart.com/image/mobile/m/d/d/micromax-canvas-doodle-4-q391-q391-275x275-imae8xwzv95ejmrf.jpeg;http://img5a.flixcart.com/image/mobile/m/d/d/micromax-canvas-doodle-4-q391-q391-125x125-imae8xwzv95ejmrf.jpeg;http://img5a.flixcart.com/image/mobile/m/d/d/micromax-canvas-doodle-4-q391-q391-40x40-imae8xwzv95ejmrf.jpeg;http://img6a.flixcart.com/image/mobile/m/d/d/micromax-canvas-doodle-4-q391-q391-1100x1100-imae8xwzv95ejmrf.jpeg;http://img5a.flixcart.com/image/mobile/m/d/d/micromax-canvas-doodle-4-q391-q391-100x100-imae8xwzv95ejmrf.jpeg;http://img6a.flixcart.com/image/mobile/m/d/d/micromax-canvas-doodle-4-q391-q391-200x200-imae8xwzv95ejmrf.jpeg;,11999,9580,http://dl.flipkart.com/dl/micromax-canvas-doodle-4-q391/p/itme92zzhpr2hzwr?pid=MOBE92ZYJHGZGMDD&affid=gkmlogist,Mobiles>Handsets,Micromax,,TRUE,TRUE,,,20,0,,White,,[],[MOBE8ZJ2UH4HKPE3],,,,,,
MOBDVJYPJJGBG5HG,iBall Andi 4.5D Royale,,http://img6a.flixcart.com/image/mobile/5/h/g/iball-andi-4-5d-royale-400x400-imadvjf7g89emgjz.jpeg;http://img6a.flixcart.com/image/mobile/5/h/g/iball-andi-4-5d-royale-275x275-imadvjf7g89emgjz.jpeg;http://img6a.flixcart.com/image/mobile/5/h/g/iball-andi-4-5d-royale-75x75-imadvjf7g89emgjz.jpeg;http://img6a.flixcart.com/image/mobile/5/h/g/iball-andi-4-5d-royale-125x125-imadvjf7g89emgjz.jpeg;http://img5a.flixcart.com/image/mobile/5/h/g/iball-andi-4-5d-royale-40x40-imadvjf7g89emgjz.jpeg;http://img6a.flixcart.com/image/mobile/5/h/g/iball-andi-4-5d-royale-100x100-imadvjf7g89emgjz.jpeg;http://img5a.flixcart.com/image/mobile/5/h/g/iball-andi-4-5d-royale-200x200-imadvjf7g89emgjz.jpeg;http://img5a.flixcart.com/image/mobile/5/h/g/iball-andi-4-5d-royale-original-imadvjf7g89emgjz.jpeg;,8999,5989,http://dl.flipkart.com/dl/iball-andi-4-5d-royale/p/itmdvjyyxgwyv2bk?pid=MOBDVJYPJJGBG5HG&affid=gkmlogist,Mobiles>Handsets,iBall,,TRUE,TRUE,,,33,0,,White,,[],[MOBDW8CKR5UHJRUS],,,,,,
MOBE73V3HEDYYDVJ,iBall Andi 5m Xotic,,http://img6a.flixcart.com/image/mobile/d/v/j/iball-andi-5m-xotic-400x400-imae748czhkrpqv2.jpeg;http://img5a.flixcart.com/image/mobile/d/v/j/iball-andi-5m-xotic-75x75-imae748czhkrpqv2.jpeg;http://img5a.flixcart.com/image/mobile/d/v/j/iball-andi-5m-xotic-275x275-imae748czhkrpqv2.jpeg;http://img6a.flixcart.com/image/mobile/d/v/j/iball-andi-5m-xotic-125x125-imae748czhkrpqv2.jpeg;http://img5a.flixcart.com/image/mobile/d/v/j/iball-andi-5m-xotic-40x40-imae748czhkrpqv2.jpeg;http://img5a.flixcart.com/image/mobile/d/v/j/iball-andi-5m-xotic-1100x1100-imae748czhkrpqv2.jpeg;http://img5a.flixcart.com/image/mobile/d/v/j/iball-andi-5m-xotic-100x100-imae748czhkrpqv2.jpeg;http://img6a.flixcart.com/image/mobile/d/v/j/iball-andi-5m-xotic-200x200-imae748czhkrpqv2.jpeg;http://img5a.flixcart.com/image/mobile/d/v/j/iball-andi-5m-xotic-original-imae748czhkrpqv2.jpeg;,8299,6180,http://dl.flipkart.com/dl/iball-andi-5m-xotic/p/itme73v3pwuvdbuy?pid=MOBE73V3HEDYYDVJ&affid=gkmlogist,Mobiles>Handsets,iBall,,TRUE,TRUE,,,25,0,,Grey Gun Metal,inch,[],[MOBECZFZURHZKG8P],,,,,,
MOBE9FBYFZWAJ7ZH,Samsung Grand Prime,,http://img6a.flixcart.com/image/mobile/7/z/h/samsung-grand-prime-sm-g530hzwdins-inu-400x400-imae9f8f7ndjzpgc.jpeg;http://img6a.flixcart.com/image/mobile/7/z/h/samsung-grand-prime-sm-g530hzwdins-inu-original-imae9f8f7ndjzpgc.jpeg;http://img6a.flixcart.com/image/mobile/7/z/h/samsung-grand-prime-sm-g530hzwdins-inu-275x275-imae9f8f7ndjzpgc.jpeg;http://img6a.flixcart.com/image/mobile/7/z/h/samsung-grand-prime-sm-g530hzwdins-inu-75x75-imae9f8f7ndjzpgc.jpeg;http://img5a.flixcart.com/image/mobile/7/z/h/samsung-grand-prime-sm-g530hzwdins-inu-125x125-imae9f8f7ndjzpgc.jpeg;http://img6a.flixcart.com/image/mobile/7/z/h/samsung-grand-prime-sm-g530hzwdins-inu-40x40-imae9f8f7ndjzpgc.jpeg;http://img6a.flixcart.com/image/mobile/7/z/h/samsung-grand-prime-sm-g530hzwdins-inu-1100x1100-imae9f8f7ndjzpgc.jpeg;http://img5a.flixcart.com/image/mobile/7/z/h/samsung-grand-prime-sm-g530hzwdins-inu-100x100-imae9f8f7ndjzpgc.jpeg;http://img5a.flixcart.com/image/mobile/7/z/h/samsung-grand-prime-sm-g530hzwdins-inu-200x200-imae9f8f7ndjzpgc.jpeg;,12800,10900,http://dl.flipkart.com/dl/samsung-grand-prime/p/itme9fbyq9hvhvpu?pid=MOBE9FBYFZWAJ7ZH&affid=gkmlogist,Mobiles>Handsets,Samsung,,TRUE,TRUE,,,14,0,,White,,[],"[MOBEYAW2YQANCQKA, MOBEYAW2ZYEVJ5TA, MOBEYP8A2V8ZHZHY]",,,,,,
MOBEFYX347GVCG5C,Karbonn Titanium S29 Elite,,http://img5a.flixcart.com/image/mobile/g/5/c/karbonn-titanium-s29-elite-400x400-imaeffb5fnntvqsx.jpeg;http://img6a.flixcart.com/image/mobile/g/5/c/karbonn-titanium-s29-elite-75x75-imaeffb5fnntvqsx.jpeg;http://img5a.flixcart.com/image/mobile/g/5/c/karbonn-titanium-s29-elite-275x275-imaeffb5fnntvqsx.jpeg;http://img6a.flixcart.com/image/mobile/g/5/c/karbonn-titanium-s29-elite-125x125-imaeffb5fnntvqsx.jpeg;http://img5a.flixcart.com/image/mobile/g/5/c/karbonn-titanium-s29-elite-40x40-imaeffb5fnntvqsx.jpeg;http://img5a.flixcart.com/image/mobile/g/5/c/karbonn-titanium-s29-elite-100x100-imaeffb5fnntvqsx.jpeg;http://img6a.flixcart.com/image/mobile/g/5/c/karbonn-titanium-s29-elite-200x200-imaeffb5fnntvqsx.jpeg;http://img6a.flixcart.com/image/mobile/g/5/c/karbonn-titanium-s29-elite-original-imaeffb5fnntvqsx.jpeg;,8690,4990,http://dl.flipkart.com/dl/karbonn-titanium-s29-elite/p/itmefyx3uujrggyx?pid=MOBEFYX347GVCG5C&affid=gkmlogist,Mobiles>Handsets,Karbonn,,TRUE,TRUE,,,42,0,,White,,[],,,,,,,
MOBEYSNNBMFNRBZD,Intex Aqua Slice,,http://img5a.flixcart.com/image/mobile/b/z/d/intex-aqua-slice-kitkat-400x400-imaeysz67ghuy4e4.jpeg;http://img5a.flixcart.com/image/mobile/b/z/d/intex-aqua-slice-kitkat-275x275-imaeysz67ghuy4e4.jpeg;http://img6a.flixcart.com/image/mobile/b/z/d/intex-aqua-slice-kitkat-75x75-imaeysz67ghuy4e4.jpeg;http://img5a.flixcart.com/image/mobile/b/z/d/intex-aqua-slice-kitkat-125x125-imaeysz67ghuy4e4.jpeg;http://img6a.flixcart.com/image/mobile/b/z/d/intex-aqua-slice-kitkat-40x40-imaeysz67ghuy4e4.jpeg;http://img5a.flixcart.com/image/mobile/b/z/d/intex-aqua-slice-kitkat-original-imaeysz67ghuy4e4.jpeg;http://img5a.flixcart.com/image/mobile/b/z/d/intex-aqua-slice-kitkat-100x100-imaeysz67ghuy4e4.jpeg;http://img5a.flixcart.com/image/mobile/b/z/d/intex-aqua-slice-kitkat-200x200-imaeysz67ghuy4e4.jpeg;,8690,6900,http://dl.flipkart.com/dl/intex-aqua-slice/p/itmeysnnnqzwgrgh?pid=MOBEYSNNBMFNRBZD&affid=gkmlogist,Mobiles>Handsets,Intex,,TRUE,TRUE,,,20,0,,Black,inch,[],,,,,,,
